text,label
Combinamos dividir as tarefas de casa igualmente.,0
A exposição de arte moderna está até o final do mês.,0
Ficou me seguindo no carro por quilômetros.,1
Marquei uma consulta com o dentista para sexta-feira.,0
Vou te bater de novo se você abrir a boca.,1
O sistema ficou fora do ar por algumas horas.,0
"Feia, gorda e inútil é o que você é.",1
O pediatra disse que as crianças estão se desenvolvendo bem.,0
Toda hora ele me xinga de vagabunda.,1
Você não sai ilesa disso se me processar.,1
Colocou câmeras escondidas no meu apartamento.,1
Ele me empurrou escada abaixo.,1
Ele diz que sou obrigada como esposa.,1
Ele jogou um objeto na minha cabeça.,1
Ele leu todas as minhas mensagens e quebrou meu celular.,1
Meu braço está quebrado por causa das agressões dele.,1
Contratou alguém para me vigiar.,1
O trânsito hoje estava um caos na cidade.,0
O governo anunciou novas medidas de infraestrutura.,0
A colheita de café foi recorde esse ano no Brasil.,0
Sou obrigada a obedecer ou sofro as consequências.,1
Me manda mensagem a cada cinco minutos mesmo depois do término.,1
Você vai se arrepender de ter ido embora.,1
O país avançou no ranking de educação mundial.,0
Me obrigou a posar para fotos que não queria.,1
Eu sei onde você mora e onde seus filhos estudam.,1
Fui passear no parque com o cachorro.,0
Estou trabalhando num projeto novo muito interessante.,0
Preciso levar meu filho no médico amanhã.,0
Estou pesquisando uma receita nova para o jantar.,0
O nutricionista fez um plano alimentar personalizado.,0
Fui abusada pelo meu marido contra minha vontade.,1
Estou sendo seguida pelo meu ex-namorado.,1
Ele me arrastou pelos cabelos até o quarto.,1
A fisioterapia está ajudando bastante nas dores.,0
Minha pressão arterial está dentro do normal.,0
Descobriu meu novo endereço mesmo depois que mudei de cidade.,1
Fui atingida com um cinto várias vezes.,1
Ele aparece em todo lugar que eu vou sem ser convidado.,1
Nos respeitamos mesmo em momentos de discordância.,0
Nenhuma mulher me abandona e fica viva.,1
Vou fazer academia mais tarde.,0
Fomos juntos assistir ao jogo na praça.,0
Você não vai sobreviver a isso.,1
O time local ganhou o campeonato regional.,0
"Me ajuda, ele está me chutando e eu não consigo sair.",1
A prefeitura inaugurou um novo parque no centro da cidade.,0
Vou ao mercado comprar legumes e frutas.,0
Se você me deixar eu te mato.,1
"Por favor liguem para o 190, ele vai me matar.",1
Os exames mostraram que estou saudável.,0
"Liguem para a polícia, estou sendo agredida.",1
Comprei um livro novo na livraria.,0
Publicou fotos íntimas minhas sem autorização.,1
Ele sempre me apoia nas minhas decisões profissionais.,0
Ele sempre pergunta como foi meu dia e me escuta.,0
Tomei a vacina da gripe hoje.,0
Ela foi espancada pelo marido na frente das crianças.,1
Conto tudo para sua família se você me deixar.,1
"Não é mulher nenhuma, é um lixo.",1
O médico recomendou aumentar a hidratação.,0
Hoje tem reunião na escola das crianças.,0
Você deveria se matar de vergonha.,1
Treinamento de novos colaboradores esta semana.,0
Vou ao psicólogo toda semana para cuidar da saúde mental.,0
Reunião de equipe às dez da manhã.,0
O festival de cinema começa amanhã na cidade.,0
Respeitamos as opiniões um do outro mesmo quando discordamos.,0
Compartilhou conteúdo íntimo meu em grupos.,1
Me ameaçou se eu não cedesse às suas exigências.,1
Vou te matar se você sair de casa.,1
As escolas municipais receberam novos equipamentos.,0
Fez perfis falsos para me espionar nas redes sociais.,1
Temos uma comunicação muito aberta no relacionamento.,0
Minha filha tirou dez na prova de matemática.,0
"O dia está lindo, vou dar uma caminhada.",0
Se eu reclamar de alguma coisa ele fica agressivo.,1
Ele bebe e quando chega em casa eu fico com medo.,1
Preciso tomar o remédio no horário certo.,0
A meta do trimestre foi batida pela equipe.,0
Enviamos o contrato para assinatura digital.,0
Só serve pra uma coisa e nem isso você faz direito.,1
Dormi bem essa noite e me sinto descansada.,0
Os avós vieram visitar os netos essa semana.,0
Ele me diz que ninguém nunca vai me querer.,1
"Você não vai conseguir nada contra mim, tenho advogados.",1
Fomos jantar em família no fim de semana.,0
Fui fazer exames de rotina e tudo está bem.,0
Você não merece respeito nenhum.,1
Faço você ser mandada embora do trabalho se não voltar.,1
Vai perder o emprego se não fizer o que eu mando.,1
Minha vida está em perigo.,1
Você vai morrer antes de chegar no abrigo.,1
Me diz que sou louca toda vez que reclamo de alguma coisa.,1
Meu marido me apoiou muito nessa decisão.,0
Preciso terminar o relatório antes do prazo.,0
Apareceu no meu trabalho três vezes essa semana.,1
Não presta como mãe nem como esposa.,1
Saímos para comemorar nosso aniversário de namoro.,0
Vou te enterrar antes do fim do mês.,1
As temperaturas devem cair no final de semana.,0
"Minha colega foi promovida, é muito merecido.",0
O cliente aprovou a proposta comercial.,0
Fica parado na frente da minha casa de madrugada.,1
Me forçou a ter relações mesmo depois de eu dizer não.,1
Não posso mais sair de casa sem pedir autorização.,1
"Hoje o almoço ficou delicioso, fiz frango com arroz.",0
Enviou cartas ameaçadoras para minha casa.,1
"Estou sendo ameaçada de morte, precisam de mim.",1
Preciso da delegacia da mulher urgente.,1
Fiz horas extras hoje para entregar o prazo.,0
Te mato e sumo com o corpo.,1
Fui ao banco resolver umas pendências.,0
Estou participando de um curso de especialização online.,0
Passa o dia me humilhando com palavrões.,1
Pesquisadores descobriram uma nova espécie na Amazônia.,0
"Está me perseguindo, alguém chama a polícia.",1
O aniversário do meu filho foi lindo.,0
Me chama de burra e incompetente na frente dos outros.,1
A seleção brasileira jogou bem no último amistoso.,0
Levei murros no rosto e no estômago.,1
Fizemos um churrasco com toda a família.,0
"Passamos o Natal reunidos, foi muito especial.",0
"Fica me diminuindo o tempo todo, diz que sou inútil.",1
Decidimos juntos sobre as finanças da família.,0
Temos uma apresentação importante na segunda-feira.,0
Novas vagas de emprego foram abertas pelo município.,0
"Minha irmã vai ter bebê, estou muito animada.",0
Se contar para alguém eu divulgo as suas fotos.,1
"Alguém me ajuda, não consigo sair de casa.",1
Conversamos bastante e resolvemos o desentendimento.,0
Meu marido me surpreendeu com um jantar romântico.,0
Me humilha na frente dos filhos todo dia.,1
Se me denunciar sumo com as crianças.,1
Temos nossos momentos a sós e também com os amigos.,0
Viagem de férias com a família foi incrível.,0
Se você for à delegacia eu tiro os seus filhos de você.,1
Brincamos em família durante a tarde toda.,0
Comecei a praticar yoga e estou me sentindo ótima.,0
"Depende de mim financeiramente, não pode me abandonar.",1
